DateTime,SaturatedThickness,WaterLevel,WaterElevation
11/30/2011,54.13,219.0745602,2832.93
12/31/2011,54.83,218.7180097,2833.63
1/31/2012,54.91,218.2690816,2833.71
2/29/2012,55.66428571,217.5851703,2834.464286
3/31/2012,55.578,217.548206,2834.378
4/30/2012,56.125,217.3242639,2834.925
5/31/2012,54.33333333,218.9421552,2833.133333
6/30/2012,55.335,218.0245972,2834.135
7/31/2012,54.65666667,218.4766532,2833.456667
8/31/2012,51.61166667,221.6610452,2830.411667
9/30/2012,52.75,220.6603889,2831.55
10/31/2012,54.75666667,218.5212366,2833.556667
11/30/2012,55.388,218.0186765,2834.188
12/31/2012,55.81428571,217.5879082,2834.614286
1/31/2013,55.41,217.8819892,2834.21
2/28/2013,55.99,217.5037798,2834.79
3/31/2013,55.67666667,217.4986926,2834.476667
4/30/2013,55.685,217.4365278,2834.485
5/31/2013,53.09333333,219.8504704,2831.893333
6/30/2013,54.26,219.0792361,2833.06
7/31/2013,53.77833333,219.3831989,2832.578333
8/31/2013,52.67166667,220.0821371,2831.471667
9/30/2013,53.97,219.4961667,2832.77
10/31/2013,54.675,218.5785349,2833.475
11/30/2013,56.044,216.8376528,2834.844
12/31/2013,55.0125,217.1208468,2833.8125
1/31/2014,55.34,217.9889113,2834.14
2/28/2014,55.74666667,217.695997,2834.546667
3/31/2014,55.97666667,217.6292339,2834.776667
4/30/2014,55.88857143,217.4837778,2834.688571
5/31/2014,53.97833333,219.5529661,2832.778333
6/30/2014,55.40833333,217.9118773,2834.208333
7/31/2014,55.875,217.5469173,2834.675
8/31/2014,52.78666667,220.746299,2831.586667
9/30/2014,53.21,220.6357778,2832.01
10/31/2014,54.70833333,218.6801882,2833.508333
11/30/2014,55.105,218.8281073,2833.905
12/31/2014,55.25166667,218.4425606,2834.051667
1/31/2015,54.88833333,218.6942261,2833.688333
2/28/2015,55.46857143,218.3244048,2834.268571
3/31/2015,55.16333333,218.1016263,2833.963333
4/30/2015,55.99333333,217.443032,2834.793333
5/31/2015,55.91666667,217.6665457,2834.716667
6/30/2015,55.88666667,217.5371389,2834.686667
7/31/2015,56.19666667,217.115123,2834.996667
8/31/2015,51.83833333,221.3885349,2830.638333
9/30/2015,52.215,221.3688194,2831.015
10/31/2015,54.21333333,219.2385753,2833.013333
11/30/2015,55.11333333,218.6406954,2833.913333
12/31/2015,55.65833333,217.9320161,2834.458333
1/31/2016,55.64,218.0779301,2834.44
2/29/2016,55.522,217.9100144,2834.322
3/31/2016,56.34166667,217.0911559,2835.141667
4/30/2016,56.71666667,217.1544028,2835.516667
5/31/2016,55.93666667,217.5539382,2834.736667
6/30/2016,56.19833333,217.2142917,2834.998333
7/31/2016,52.96666667,219.9989113,2831.766667
8/31/2016,48.608,224.7362903,2827.408
